city;state
Algaida;Islas Baleares
Algámitas;Sevilla
Algar;Cádiz
Algar de Mesa;Guadalajara
Algar de Palancia;Valencia
Algarinejo;Granada
Algarra;Cuenca
Algarrobo;Málaga
Algatocín;Málaga
Algeciras;Cádiz
Algemesí;Valencia
Algerri;Lleida
Algete;Madrid
Algimia de Alfara;Valencia
Algimia de Almonacid;Castellón
Alginet;Valencia
Algodonales;Cádiz
Algodre;Zamora
Algora;Guadalajara
Algorfa;Alicante
Alguaire;Lleida
Alguazas;Murcia
Algueña;Alicante
Alhabia;Almería
Alhama de Almería;Almería
Alhama de Aragón;Zaragoza
Alhama de Granada;Granada
Alhama de Murcia;Murcia
Alhambra;Ciudad Real
Alhaurín de la Torre;Málaga
Alhaurín el Grande;Málaga
Alhendín;Granada
Alhóndiga;Guadalajara
Alía;Cáceres
Aliaga;Teruel
Aliaguilla;Cuenca
Alicante/Alacant;Alicante
Alicún;Almería
Alicún de Ortega;Granada
Alija del Infantado;León
Alins;Lleida
Alió;Tarragona
Alique;Guadalajara
Aliseda;Cáceres
Aliud;Soria
Aljaraque;Huelva
Aljucén;Badajoz
Alkiza;Gipuzkoa
Allande;Asturias
Allariz;Ourense
Allepuz;Teruel
Aller;Asturias
Allín;Navarra
Allo;Navarra
Alloza;Teruel
Allueva;Teruel
Almacelles;Lleida
Almáchar;Málaga
Almadén;Ciudad Real
Almadén de la Plata;Sevilla
Almadenejos;Ciudad Real
Almadrones;Guadalajara
Almagro;Ciudad Real
Almajano;Soria
Almaluez;Soria
Almansa;Albacete
Almanza;León
Almaraz;Cáceres
Almaraz de Duero;Zamora
Almarcha, La;Cuenca
Almargen;Málaga
Almarza;Soria
Almarza de Cameros;La Rioja
Almàssera;Valencia
Almatret;Lleida
Almazán;Soria
Almazora/Almassora;Castellón
Almazul;Soria
Almedíjar;Castellón
Almedina;Ciudad Real
Almedinilla;Córdoba
Almegíjar;Granada
Almeida de Sayago;Zamora
Almenar;Lleida
Almenar de Soria;Soria
Almenara;Castellón
Almenara de Adaja;Valladolid
Almenara de Tormes;Salamanca
Almendra;Salamanca
Almendral;Badajoz
Almendral de la Cañada;Toledo
Almendralejo;Badajoz
Almendro, El;Huelva
Almendros;Cuenca
Almensilla;Sevilla
Almería;Almería
Almiserà;Valencia
Almochuel;Zaragoza
Almócita;Almería
Almodóvar del Campo;Ciudad Real
Almodóvar del Pinar;Cuenca
Almodóvar del Río;Córdoba
Almogía;Málaga
Almoguera;Guadalajara
Almohaja;Teruel
Almoharín;Cáceres
Almoines;Valencia
Almolda, La;Zaragoza
Almonacid de la Cuba;Zaragoza
Almonacid de la Sierra;Zaragoza
Almonacid de Toledo;Toledo
Almonacid de Zorita;Guadalajara
Almonacid del Marquesado;Cuenca
Almonaster la Real;Huelva
Almonte;Huelva
Almoradí;Alicante
Almorox;Toledo
Almoster;Tarragona
Almudaina;Alicante
Almudévar;Huesca
Almunia de Doña Godina, La;Zaragoza
Almunia de San Juan;Huesca
Almuniente;Huesca
Almuñécar;Granada
Almuradiel;Ciudad Real
Almussafes;Valencia
Alobras;Teruel
Alocén;Guadalajara
Alonsotegi;Vizcaya
Álora;Málaga
Alòs de Balaguer;Lleida
Alosno;Huelva
Alovera;Guadalajara
Alozaina;Málaga
Alp;Girona
Alpandeire;Málaga
Alpanseque;Soria
Alpartir;Zaragoza
Alpedrete;Madrid
Alpens;Barcelona
Alpeñés;Teruel
Alpera;Albacete
Alpicat;Lleida
Alpuente;Valencia
Alpujarra de la Sierra;Granada
Alqueria d'Asnar, l';Alicante
Alqueria de la Comtessa, l';Valencia
Alquerías del Niño Perdido;Castellón
Alquézar;Huesca
Alquife;Granada
Alsodux;Almería
Alt Àneu;Lleida
Altable;Burgos
Altafulla;Tarragona
Altarejos;Cuenca
Altea;Alicante
Altorricón;Huesca
Altos, Los;Burgos
Altsasu/Alsasua;Navarra
Altura;Castellón
Altzaga;Gipuzkoa
Altzo;Gipuzkoa
Alustante;Guadalajara
Alzira;Valencia
Amavida;Ávila
Amayuelas de Arriba;Palencia
Ambel;Zaragoza
Ambite;Madrid
Amer;Girona
Ames;A Coruña
Améscoa Baja;Navarra
Ametlla de Mar, L';Tarragona
Ametlla del Vallès, L';Barcelona
Ameyugo;Burgos
Amezketa;Gipuzkoa
Amieva;Asturias
Amoeiro;Ourense
Amorebieta-Etxano;Vizcaya
Amoroto;Vizcaya
Ampolla, L';Tarragona
Amposta;Tarragona
Ampudia;Palencia
Ampuero;Cantabria
Amurrio;Álava
Amusco;Palencia
Amusquillo;Valladolid
Anadón;Teruel
Anaya;Segovia
Anaya de Alba;Salamanca
Anchuelo;Madrid
Anchuras;Ciudad Real
Ancín/Antzin;Navarra
Andavías;Zamora
Andilla;Valencia
Andoain;Gipuzkoa
Andorra;Teruel
Andosilla;Navarra
Andratx;Islas Baleares
Andújar;Jaén
Anento;Zaragoza
Anglès;Girona
Anglesola;Lleida
Angón;Guadalajara
Anguciana;La Rioja
Angüés;Huesca
Anguiano;La Rioja
Anguita;Guadalajara
Anguix;Burgos
Anievas;Cantabria
Aniñón;Zaragoza
Anna;Valencia
Anoeta;Gipuzkoa
Anquela del Ducado;Guadalajara
Anquela del Pedregal;Guadalajara
Ansó;Huesca
Ansoáin/Antsoain;Navarra
Antas;Almería
Antas de Ulla;Lugo
Antella;Valencia
Antequera;Málaga
Antigua;Las Palmas
Antigua, La;León
Antigüedad;Palencia
Antillón;Huesca
Antzuola;Gipuzkoa
Anue;Navarra
Añana;Álava
Añe;Segovia
Añón de Moncayo;Zaragoza
Añora;Córdoba
Añorbe;Navarra
Añover de Tajo;Toledo
Añover de Tormes;Salamanca
Aoiz/Agoitz;Navarra
Arabayona de Mógica;Salamanca
Aracena;Huelva
Arafo;Sta. Cruz de Tenerife
Aragüés del Puerto;Huesca
Arahal;Sevilla
Arahuetes;Segovia
Araitz;Navarra
Arakaldo;Vizcaya
Arakil;Navarra
Arama;Gipuzkoa
Aramaio;Álava
Aranarache/Aranaratxe;Navarra
Arancón;Soria
Aranda de Duero;Burgos
Aranda de Moncayo;Zaragoza
Arándiga;Zaragoza
Arandilla;Burgos
Arandilla del Arroyo;Cuenca
Aranga;A Coruña
Aranguren;Navarra
Aranjuez;Madrid
Arano;Navarra
Arantza;Navarra
Arantzazu;Vizcaya
Aranzueque;Guadalajara
Arañuel;Castellón
Arapiles;Salamanca
Aras;Navarra
Aras de los Olmos;Valencia
Arauzo de Miel;Burgos
Arauzo de Salce;Burgos
Arauzo de Torre;Burgos
Arbancón;Guadalajara
Arbeca;Lleida
Arbeteta;Guadalajara
Arbizu;Navarra
Arbo;Pontevedra
Arboç, L';Tarragona
Arboleas;Almería
Arbolí;Tarragona
Arbúcies;Girona
Arcas del Villar;Cuenca
Arce/Artzi;Navarra
Arcediano;Salamanca
Arcenillas;Zamora
Archena;Murcia
Árchez;Málaga
Archidona;Málaga
Arcicóllar;Toledo
Arco, El;Salamanca
Arconada;Palencia
Arcones;Segovia
Arcos;Burgos
Arcos de Jalón;Soria
Arcos de la Frontera;Cádiz
Arcos de la Polvorosa;Zamora
Arcos de la Sierra;Cuenca
Arcos de las Salinas;Teruel
Arcos, Los;Navarra
Ardales;Málaga
Ardisa;Zaragoza
Ardón;León
Areatza;Vizcaya
Arellano;Navarra
Arén;Huesca
Arenal, El;Ávila
Arenales de San Gregorio;Ciudad Real
Arenas;Málaga
Arenas de Iguña;Cantabria
Arenas de San Juan;Ciudad Real
Arenas de San Pedro;Ávila
Arenas del Rey;Granada
Arenillas;Soria
Arenillas de Riopisuerga;Burgos
Arens de Lledó;Teruel
Arenys de Mar;Barcelona
Arenys de Munt;Barcelona
Arenzana de Abajo;La Rioja
Arenzana de Arriba;La Rioja
Ares;A Coruña
Ares del Maestrat;Castellón
Areso;Navarra
Aretxabaleta;Gipuzkoa
Arevalillo;Ávila
Arevalillo de Cega;Segovia
Arévalo;Ávila
Arévalo de la Sierra;Soria
Argamasilla de Alba;Ciudad Real
Argamasilla de Calatrava;Ciudad Real
Arganda del Rey;Madrid
Arganza;León
Argañín;Zamora
Argavieso;Huesca
Argecilla;Guadalajara
Argelaguer;Girona
Argelita;Castellón
Argençola;Barcelona
Argente;Teruel
Argentera, L';Tarragona
Argentona;Barcelona
Argés;Toledo
Argoños;Cantabria
Arguedas;Navarra
Arguis;Huesca
Arguisuelas;Cuenca
Argujillo;Zamora
Aria;Navarra
Ariany;Islas Baleares
Aribe;Navarra
Arico;Sta. Cruz de Tenerife
Arija;Burgos
Ariño;Teruel
Ariza;Zaragoza
Arjona;Jaén
Arjonilla;Jaén
Arlanzón;Burgos
Armallones;Guadalajara
Armañanzas;Navarra
Armentera, L';Girona
Armenteros;Salamanca
Armilla;Granada
Armiñón;Álava
Armuña;Segovia
Armuña de Almanzora;Almería
Armuña de Tajuña;Guadalajara
Arnedillo;La Rioja
Arnedo;La Rioja
Arnes;Tarragona
Arnoia, A;Ourense
Arnuero;Cantabria
Aroche;Huelva
Arona;Sta. Cruz de Tenerife
Arquillinos;Zamora
Arquillos;Jaén
Arrabalde;Zamora
Arraia-Maeztu;Álava
Arrancacepas;Cuenca
Arrankudiaga;Vizcaya
Arrasate/Mondragón;Gipuzkoa
Arratzu;Vizcaya
Arraya de Oca;Burgos
Arrazua-Ubarrundia;Álava
Arrecife;Las Palmas
Arredondo;Cantabria
Arres;Lleida
Arriate;Málaga
Arrieta;Vizcaya
Arrigorriaga;Vizcaya
Arroba de los Montes;Ciudad Real
Arróniz;Navarra
Arroyo de la Encomienda;Valladolid
Arroyo de la Luz;Cáceres
Arroyo de las Fraguas;Guadalajara
Arroyo de San Serván;Badajoz
Arroyo del Ojanco;Jaén
Arroyomolinos;Cáceres
Arroyomolinos;Madrid
Arroyomolinos de la Vera;Cáceres
Arroyomolinos de León;Huelva
Arruazu;Navarra
Arrúbal;La Rioja
Arsèguel;Lleida
Artà;Islas Baleares
Artajona;Navarra
Artana;Castellón
Artazu;Navarra
Artea;Vizcaya
Arteixo;A Coruña
Artenara;Las Palmas
Artés;Barcelona
Artesa de Lleida;Lleida
Artesa de Segre;Lleida
Artieda;Zaragoza
Artzentales;Vizcaya
Artziniega;Álava
Arucas;Las Palmas
Arzúa;A Coruña
Ascó;Tarragona
Asín;Zaragoza
Aspa;Lleida
Aspariegos;Zamora
Asparrena;Álava
Aspe;Alicante
Asteasu;Gipuzkoa
Astigarraga;Gipuzkoa
Astillero, El;Cantabria
Astorga;León
Astudillo;Palencia
Asturianos;Zamora
Atajate;Málaga
Atalaya;Badajoz
Atalaya del Cañavate;Cuenca
Atalaya, La;Salamanca
Atanzón;Guadalajara
Atapuerca;Burgos
Ataquines;Valladolid
Atarfe;Granada
Ataun;Gipuzkoa
Atazar, El;Madrid
Atea;Zaragoza
Ateca;Zaragoza
Atez;Navarra
Atienza;Guadalajara
Atxondo;Vizcaya
Atzeneta d'Albaida;Valencia
Atzeneta del Maestrat;Castellón
Aulesti;Vizcaya
Auñón;Guadalajara
Auritz/Burguete;Navarra
Ausejo;La Rioja
Ausejo de la Sierra;Soria
Ausines, Los;Burgos
Autilla del Pino;Palencia
Autillo de Campos;Palencia
Autol;La Rioja
Aveinte;Ávila
Avellaneda;Ávila
Avellanes i Santa Linya, Les;Lleida
Avellanosa de Muñó;Burgos
Avià;Barcelona
Ávila;Ávila
Avilés;Asturias
Avinyó;Barcelona
Avinyonet de Puigventós;Girona
Avinyonet del Penedès;Barcelona
Avión;Ourense
Ayala/Aiara;Álava
Ayamonte;Huelva
Ayegui/Aiegi;Navarra
Ayerbe;Huesca
Ayllón;Segovia
Ayna;Albacete
Ayódar;Castellón
Ayoó de Vidriales;Zamora
Ayora;Valencia
Ayuela;Palencia
Azagra;Navarra
Azaila;Teruel
Azanuy-Alins;Huesca
Azara;Huesca
Azkoitia;Gipuzkoa
Azlor;Huesca
Aznalcázar;Sevilla
Aznalcóllar;Sevilla
Azofra;La Rioja
Azpeitia;Gipuzkoa
Azuaga;Badajoz
Azuara;Zaragoza
Azuébar;Castellón
Azuelo;Navarra
Azuqueca de Henares;Guadalajara
Azután;Toledo
Babilafuente;Salamanca
Bacares;Almería
Badajoz;Badajoz
Badalona;Barcelona
Badarán;La Rioja
Bádenas;Teruel
Badia del Vallès;Barcelona
Badolatosa;Sevilla
Badules;Zaragoza
Baélls;Huesca
Baena;Córdoba
Baeza;Jaén
Bagà;Barcelona
Báguena;Teruel
Bagüés;Zaragoza
Bahabón;Valladolid
Bahabón de Esgueva;Burgos
Baides;Guadalajara
Bailén;Jaén
Bailo;Huesca
Baiona;Pontevedra
Baix Pallars;Lleida
Bakaiku;Navarra
Bakio;Vizcaya
Balaguer;Lleida
Balazote;Albacete
Balbases, Los;Burgos
Balboa;León
Balconchán;Zaragoza
Baldellou;Huesca
Baleira;Lugo
Balenyà;Barcelona
Baliarrain;Gipuzkoa
Ballestero, El;Albacete
Ballesteros de Calatrava;Ciudad Real
Ballobar;Huesca
Balmaseda;Vizcaya
Balones;Alicante
Balsa de Ves;Albacete
Balsareny;Barcelona
Baltanás;Palencia
Baltar;Ourense
Banastás;Huesca
Bande;Ourense
Banyalbufar;Islas Baleares
Banyeres de Mariola;Alicante
Banyeres del Penedès;Tarragona
Banyoles;Girona
Baña, A;A Coruña
Bañares;La Rioja
Bañeza, La;León
Bañobárez;Salamanca
Bañón;Teruel
Baños de Ebro/Mañueta;Álava
Baños de la Encina;Jaén
Baños de Molgas;Ourense
Baños de Montemayor;Cáceres
Baños de Río Tobía;La Rioja
Baños de Rioja;La Rioja
Baños de Tajo;Guadalajara
Baños de Valdearados;Burgos
Bañuelos;Guadalajara
Bañuelos de Bureba;Burgos
Baquerín de Campos;Palencia
Barajas de Melo;Cuenca
Barakaldo;Vizcaya
Baralla;Lugo
Barañain;Navarra
Baraona;Soria
Barásoain;Navarra
Barbadás;Ourense
Barbadillo;Salamanca
Barbadillo de Herreros;Burgos
Barbadillo del Mercado;Burgos
Barbadillo del Pez;Burgos
Barbalos;Salamanca
Barbarin;Navarra
Barbastro;Huesca
Barbate;Cádiz
Barbens;Lleida
Barberà de la Conca;Tarragona
Barberà del Vallès;Barcelona
Bárboles;Zaragoza
Barbolla;Segovia
Barbués;Huesca
Barbuñales;Huesca
Barca;Soria
Bárcabo;Huesca
Barcarrota;Badajoz
Barcelona;Barcelona
Bárcena de Campos;Palencia
Bárcena de Cicero;Cantabria
Bárcena de Pie de Concha;Cantabria
Barceo;Salamanca
Barchín del Hoyo;Cuenca
Barcial de la Loma;Valladolid
Barcial del Barco;Zamora
Barcience;Toledo
Barco de Ávila, El;Ávila
Barco de Valdeorras, O;Ourense
Barcones;Soria
Bardallur;Zaragoza
Bareyo;Cantabria
Bargas;Toledo
Bargota;Navarra
Barillas;Navarra
Barjas;León
Barlovento;Sta. Cruz de Tenerife
Baronia de Rialb, La;Lleida
Barracas;Castellón
Barrachina;Teruel
Barraco, El;Ávila
Barrado;Cáceres
Barrax;Albacete
Barreiros;Lugo
Barrika;Vizcaya
Barrio de Muñó;Burgos
Barriopedro;Guadalajara
Barrios de Bureba, Los;Burgos
Barrios de Colina;Burgos
Barrios de Luna, Los;León
Barrios, Los;Cádiz
Barro;Pontevedra
Barromán;Ávila
Barruecopardo;Salamanca
Barruelo de Santullán;Palencia
Barruelo del Valle;Valladolid
Barrundia;Álava
Barx;Valencia
Barxeta;Valencia
Basaburua;Navarra
Basardilla;Segovia
Basauri;Vizcaya
Bàscara;Girona
Basconcillos del Tozo;Burgos
Báscones de Ojeda;Palencia
Bascuñana;Burgos
Bascuñana de San Pedro;Cuenca
Bassella;Lleida
Bastida, La;Salamanca
Batea;Tarragona
Baterno;Badajoz
Batres;Madrid
Bausen;Lleida
Bayárcal;Almería
Bayarque;Almería
Bayubas de Abajo;Soria
Bayubas de Arriba;Soria
Baza;Granada
Baztan;Navarra
Bea;Teruel
Beade;Ourense
Beamud;Cuenca
Beariz;Ourense
Beas;Huelva
Beas de Granada;Granada
Beas de Guadix;Granada
Beas de Segura;Jaén
Beasain;Gipuzkoa
Becedas;Ávila
Becedillas;Ávila
Beceite;Teruel
Becerreá;Lugo
Becerril de Campos;Palencia
Becerril de la Sierra;Madrid
Becilla de Valderaduey;Valladolid
Bédar;Almería
Bedia;Vizcaya
Bedmar y Garcíez;Jaén
Begíjar;Jaén
Begonte;Lugo
Begues;Barcelona
Begur;Girona
Beintza-Labaien;Navarra
Beire;Navarra
Beires;Almería
Beizama;Gipuzkoa
Béjar;Salamanca
Bejís;Castellón
Belalcázar;Córdoba
Belascoáin;Navarra
Belauntza;Gipuzkoa
Belbimbre;Burgos
Belchite;Zaragoza
Beleña;Salamanca
Bèlgida;Valencia
Belianes;Lleida
Belinchón;Cuenca
Bellaguarda;Lleida
Bellcaire d'Empordà;Girona
Bellcaire d'Urgell;Lleida
Bell-lloc d'Urgell;Lleida
Bellmunt del Priorat;Tarragona
Bellmunt d'Urgell;Lleida
Bello;Teruel
Bellprat;Barcelona
Bellpuig;Lleida
Bellreguard;Valencia
Bellús;Valencia
Bellvei;Tarragona
Bellver de Cerdanya;Lleida
Bellvís;Lleida
Belmez;Córdoba
Bélmez de la Moraleda;Jaén
